"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.035","0.031","0.003","0.019","0.047","0.088","18,991"
"2","$K$","51,561","48,967","30,399","40,873","59,137","87,744","18,991"
"3","$z$","3.615","2.744","0.427","1.383","5.276","10.109","18,991"
"4","$Pmsy$","0.638","0.632","0.506","0.56","0.712","0.791","18,991"
"5","$P_{50}$","0.12","0.129","0.011","0.079","0.166","0.197","18,991"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,991"
"7","$N_{min}$"," 2,457"," 2,378"," 1,192"," 1,890"," 2,994"," 3,961","18,991"
"8","Max depletion","0.049","0.048","0.026","0.041","0.056","0.071","18,991"
"9","$q_{flt1}$","0.375","0.374","0.33","0.358","0.391","0.426","18,991"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,709"," 4,687"," 3,939"," 4,411"," 4,983"," 5,601","18,991"
"13","$N_{2021}$"," 4,873"," 4,841"," 3,998"," 4,527"," 5,188"," 5,919","18,991"
"14","$N_{2024}$"," 5,126"," 5,062"," 4,057"," 4,677"," 5,520"," 6,503","18,991"
"15","$N_{2030}$"," 5,653"," 5,514"," 4,101"," 4,922"," 6,240"," 8,017","18,991"
"16","Depletion in 2019","0.099","0.096","0.049","0.077","0.118","0.168","18,991"
"17","Depletion in 2021","0.103","0.099","0.05","0.079","0.123","0.179","18,991"
"18","Depletion in 2024","0.109","0.104","0.05","0.082","0.131","0.197","18,991"
"19","Depletion in 2030","0.121","0.113","0.051","0.086","0.148","0.241","18,991"
"20","$p(q)_{flt1}$","0.394","0.368","0.186","0.287","0.477","0.727",NA
