"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.066","0.072","0.004","0.041","0.093","0.108","19,419"
"2","$K$","51,250","46,210","25,957","35,143","62,638","101,198","19,419"
"3","$z$","2.639","2.423","0.103","1.114","4.045","6","19,419"
"4","$Pmsy$","0.721","0.726","0.625","0.681","0.765","0.797","19,419"
"5","$P_{50}$","0.047","0.035","0.001","0.015","0.065","0.158","19,419"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,419"
"7","$N_{min}$"," 3,344"," 3,401"," 2,130"," 2,944"," 3,784","  4,310","19,419"
"8","Max depletion","0.072","0.072","0.036","0.057","0.085","0.115","19,419"
"9","$q_{flt1}$","0.379","0.378","0.332","0.361","0.395","0.429","19,419"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,486"," 4,465"," 3,799"," 4,220"," 4,727","  5,312","19,419"
"13","$N_{2021}$"," 4,574"," 4,546"," 3,824"," 4,275"," 4,839","  5,495","19,419"
"14","$N_{2024}$"," 4,686"," 4,641"," 3,828"," 4,329"," 4,994","  5,814","19,419"
"15","$N_{2030}$"," 4,860"," 4,768"," 3,748"," 4,366"," 5,258","  6,487","19,419"
"16","Depletion in 2019","0.102","0.096","0.042","0.07","0.13","0.188","19,419"
"17","Depletion in 2021","0.104","0.098","0.043","0.07","0.133","0.195","19,419"
"18","Depletion in 2024","0.107","0.1","0.043","0.071","0.137","0.206","19,419"
"19","Depletion in 2030","0.112","0.102","0.042","0.071","0.145","0.231","19,419"
"20","$p(q)_{flt1}$","0.399","0.374","0.19","0.291","0.483","0.741",NA
