"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0642506727468346,52040.7519350648,0.000365862540835387,2.61997766882916,0.720618099315991,0.0479993950890193,1,1.598711100357,1.08986149479929,1,0.477820509809873,4469.70133905645,0,0,3371.37100153575,1954.3501,0,4469.70079210992,4550.9885258981,4819.37889762474,0.00588856395966806,0.378691276808912,0,0,-9999,-6.08472833243922,0,0,0,0,0,0,0,-6.92984348469672,0,13.0145718171359,4.1083007767485e-06,0.0717371619652944,0.10001595773682,0.102106624269467,0.109832235617414,880889.18935,1
"median",0.0698793249693699,47184.4069529477,0.000369299955633716,2.38821150030498,0.725446876441129,0.0358979821220377,1,1.59907473114896,1.0899957370062,1,0.466608073213138,4446.32025317987,0,0,3432.90031963644,1969,0,4446.32741555798,4521.02109369752,4726.15084537986,0.00556613303141873,0.377846579101883,0,0,-9999,-6.04988735384446,0,0,0,0,0,0,0,-6.65272232042236,0,12.9069089109485,2.48085100133578e-06,0.071071900954578,0.0938859039586318,0.0953877419910967,0.0990303965538314,884955,1
"2.5%PI",0.00369871139782481,26026.6780269982,8.19885005230887e-05,0.0953857975608342,0.625204538020771,0.00147543823334495,1,1.51976092006298,1.0105352730423,1,0.0218394480936695,3772.87629775353,0,0,2146.98458743062,1841,0,3772.87630495482,3783.2457362488,3708.42134809157,-0.00299109198475144,0.332703061715104,0,0,-9999,-8.11880818413577,0,0,0,0,0,0,0,-8.96208061680366,0,10.9345681556517,1.45710540851557e-07,0.035672028595642,0.041279154584707,0.0416390055599561,0.0416321468387915,44035.725,1
"97.5%PI",0.108378361014358,101996.8832416,0.000636430353368364,5.98455788790169,0.796644566468895,0.161915936135908,1,1.67704092476442,1.16912912238985,1,0.968914700980531,5281.77960172411,0,0,4328.26109644314,2029,0,5281.7792452206,5482.05233453667,6442.22090703416,0.0161504183176511,0.429186405499783,0,0,-9999,-4.24063096237045,0,0,0,0,0,0,0,-6.41987738949416,0,15.7416437848623,1.78310706691735e-05,0.11443236551695,0.187441956568771,0.194910872233291,0.230281853870083,1712877.375,1
"5%PI",0.00743752322962974,27513.7330118633,9.72763656257283e-05,0.199063391238788,0.633561744373292,0.00285605607783324,1,1.53217750489726,1.02383613109795,1,0.0430851193028502,3872.76588220033,0,0,2327.87601302684,1842,0,3872.76587580495,3897.3552874324,3852.08262450712,-0.00168302356037417,0.339694413081502,0,0,-9999,-7.73170319143795,0,0,0,0,0,0,0,-8.3560120217242,0,11.2461296902004,2.66148718291728e-07,0.0396079108522757,0.0461686667595217,0.0464893422300752,0.0465699846414857,88156.15,1
"95%PI",0.106590343743679,92177.5529310018,0.000623435594923845,5.71693689165227,0.793131310930476,0.133178451668308,1,1.66472477245833,1.15612108594139,1,0.94124320433475,5142.6441415539,0,0,4211.10534856827,2022,0,5142.64398703995,5302.16414638465,6094.05628239676,0.0144720000625285,0.42049193549983,0,0,-9999,-4.5377029131856,0,0,0,0,0,0,0,-6.42138232129507,0,15.1392106178199,1.30577375422812e-05,0.10686746523447,0.17378852760899,0.179665636172061,0.209127146242022,1670139.6,1
"min",3.07983392849565e-05,21345.4914649067,6.50996521578781e-05,0.000549326406250001,0.607247149152681,1.69547533535785e-06,1,1.43604512799414,0.919234343400559,1,6.22565858066082e-06,3152.52150832675,0,0,1502.76149466816,1837,0,3152.52150740779,3071.62016178803,2847.21093555867,-0.0107755926554707,0.296600201597119,0,0,-9999,-11.5273586486991,0,0,0,0,0,0,0,-15.0604801698234,0,9.36939688728336,2.55439216283389e-10,0.0159343735291748,0.020917032707274,0.0221952285458385,0.0212409807918385,106,1
"max",0.109998756260611,193187.234100832,0.000650573931865735,6.43826663434009,0.799996245838702,0.436910383176832,1,1.7844111334368,1.24109605847958,1,0.999936267035082,6612.5960753765,0,0,4972.19309070731,2030,0,6612.59494676933,6766.83537979414,8729.70219575362,0.0253988038567494,0.483227434057513,0,0,-9999,-2.88909247285656,0,0,0,0,0,0,0,-6.41936514653541,0,22.0880366356312,8.52948152980085e-05,0.179939007068312,0.260081344403757,0.271238922715353,0.373973725946285,1757853,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
