"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.0238490361958677,51038.1727398057,0.000392629804377488,4.17754551367071,0.646143765846188,0,1,1.59970846149529,1.08971381905889,1,0.497680194217095,5021.31136341093,0,0,815.234151601727,1849.7268,0,5021.31200359195,5275.53816047641,5686.06246805522,6556.89390800014,0.0209823908026749,0.369849753636109,0,0,-9999,-6.15642596364986,0,0,0,0,0,0,0,-6.92473459191994,0,13.0811605555698,5.36979471657679e-06,0.0156482150494066,0.102456934567848,0.107735061457564,0.116283557627897,0.134521260370142,12035852.1830011,1
"median",0.0234418399696936,49909.8718049048,0.000407873048148663,3.39011700017309,0.646377089782618,0,1,1.60001685642446,1.08977316818675,1,0.499318172456697,5006.42909056041,0,0,739.760830829709,1851,0,5006.4279767227,5255.48244767077,5654.72534019734,6484.89141217996,0.0208130618644145,0.369094686765675,0,0,-9999,-5.97491596255088,0,0,0,0,0,0,0,-6.650612030509,0,12.8572349656406,2.60719674655361e-06,0.0146534727296065,0.100235194412702,0.105288901586038,0.113086849442549,0.129714003025606,12046143,1
"2.5%PI",0.0134662746528431,35020.6238779103,8.91249473729912e-05,1.05842004463764,0.50555897668819,0,1,1.52087978694451,1.0111722236376,1,0.0260693777236156,4225.2626282163,0,0,284.097887164177,1839,0,4225.26257866085,4383.48380130519,4607.934444653,5037.07462874528,0.0106095562422964,0.324975785292662,0,0,-9999,-9.55465162513552,0,0,0,0,0,0,0,-8.91921785999094,0,10.4978321792576,4.72942368464188e-08,0.00709421567620263,0.0639660460539211,0.0662615671816223,0.0699197053905132,0.0767088250767296,607369.7,1
"97.5%PI",0.0364828499485267,73241.5570572414,0.000639024427920128,10.4220016087382,0.791605357479421,0,1,1.6786733345375,1.16814427519567,1,0.974254873965401,5918.87640309985,0,0,1790.32670532521,1861,0,5918.87646757661,6306.94253580528,6973.1379495809,8513.20096484847,0.0321594778916258,0.419133856100997,0,0,-9999,-3.81462078995928,0,0,0,0,0,0,0,-6.41987955269231,0,16.8668775767113,2.75962081856382e-05,0.0299255254613181,0.152807853514853,0.162782130947137,0.179621130615734,0.218423189641981,23379368.45,1
"5%PI",0.0148056890857292,36854.732236751,0.000110322054765853,1.12229732911108,0.511455103490734,0,1,1.5340163619294,1.02472284580368,1,0.0504611302283592,4342.76546098059,0,0,335.233704989272,1839,0,4342.76202866955,4517.09367551498,4765.07645230029,5222.03454946764,0.0120829131117765,0.331707322986054,0,0,-9999,-8.81059673877049,0,0,0,0,0,0,0,-8.36384742732934,0,10.8729403738475,1.03084879884477e-07,0.00803272792906541,0.0686741493316386,0.0713625493905233,0.0756237036411823,0.0833838590942065,1152834.5,1
"95%PI",0.034117886405917,69365.596129163,0.000627144359226987,9.69085970984232,0.783098090979038,0,1,1.66635385338812,1.15551498504771,1,0.949870834557805,5759.01752046775,0,0,1558.87715734616,1853,0,5759.01781789279,6116.63347195548,6727.99097977146,8124.64549853221,0.0303485269653818,0.410377865804366,0,0,-9999,-4.17847561832864,0,0,0,0,0,0,0,-6.4215384712798,0,16.087713111748,1.8964526051997e-05,0.0267821958449396,0.143632821162679,0.152625263156377,0.167610594682205,0.201596736754475,22785772.8,1
"min",0.00579792866319377,25841.0399771301,6.50614906963724e-05,1.00006103515625,0.500005134753883,0,1,1.42583329076631,0.934438292171567,1,5.49627002328634e-05,3643.7890236266,0,0,94.1172763126242,1837,0,3643.78902420963,3738.61771348812,3798.24747442872,3738.6653270501,-0.00035108161423425,0.280421912833817,0,0,-9999,-15.7182209011359,0,0,0,0,0,0,0,-14.0763797426183,0,9.05750332200499,1.68646019274905e-12,0.00291502393351873,0.0405157440844591,0.0409486066055849,0.0411112510317165,0.0441996081701806,2177,1
"max",0.0532968932337157,108259.388226518,0.000650603890318541,11.2144080863859,0.799986201082356,0,1,1.76083381446453,1.23310431734147,1,0.999982093228027,7435.68632586394,0,0,3110.59931932762,1986,0,7435.7242852253,7634.77736437329,8922.36957627406,11839.203644933,0.0455122122815264,0.465487255049801,0,0,-9999,-2.47975572997827,0,0,0,0,0,0,0,-6.41936514352803,0,27.1083893441568,0.000116513510467428,0.052380288249837,0.218161405193831,0.235466300981761,0.27852173724949,0.376318930351851,23977331,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
