"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0139131982931757,61846.3630472162,0.00036827531214562,4.24401096923487,0.649011829249512,0,1,1.60049246076732,1.09021143321356,1,0.500995946358319,4739.37735940603,0,0,1847.28962192303,1878.9678,0,4739.37741914286,4901.0046017868,5614.36194872782,0.0134960240978868,0.3753240729264,0,0,-9999,-5.7512409244752,0,0,0,0,0,0,0,-6.9212315212485,0,12.6724724457237,5.67132647029637e-06,0.0290322399535204,0.0815967089801662,0.0845227443127676,0.0977232844941131,1659817.5278,1
"median",0.0135248298221268,59546.3453299762,0.000373017779040606,3.46930971402929,0.649491895770189,0,1,1.60018267115169,1.08993583460523,1,0.504234987543896,4711.40842998866,0,0,1651.96238592957,1851,0,4711.40843012628,4864.81276716501,5519.99690193998,0.0132589712714453,0.374816865850462,0,0,-9999,-5.69762169807957,0,0,0,0,0,0,0,-6.645715141655,0,12.5425322435288,3.57147371054578e-06,0.0270846158542976,0.0793875699365418,0.0819274212075476,0.0929397818227956,1654349,1
"2.5%PI",0.00140049758396344,39318.9649933714,8.0865193379443e-05,1.07581573145845,0.507183096987428,0,1,1.52182841401765,1.01295373209265,1,0.0241246758436318,3985.25469771877,0,0,448.574514590368,1839,0,3985.25472920979,4035.8407447585,4151.35287253838,0.00167679590250176,0.330164007115191,0,0,-9999,-7.90983895711461,0,0,0,0,0,0,0,-8.94153967098278,0,10.6302637024003,1.80702459414844e-07,0.00996388178174305,0.0445749489660405,0.0451211468766815,0.0467861354324616,85585.975,1
"97.5%PI",0.0295167596732499,97795.263213639,0.000637034918248638,10.4921449516042,0.792380556666176,0,1,1.67906325712081,1.16929877732613,1,0.97506825645687,5634.3126246013,0,0,3866.94561439355,1987.025,0,5634.31372133959,5931.81182703613,7596.66300560683,0.0267544912427306,0.423907171683391,0,0,-9999,-3.97354573631493,0,0,0,0,0,0,0,-6.41979084968535,0,15.5264140563734,2.41732549718648e-05,0.0586781680523142,0.130884412028529,0.13777086175254,0.175596783417791,3249673.55,1
"5%PI",0.00254223763395566,41584.0765650451,9.75725670483446e-05,1.1528440541371,0.514209912978113,0,1,1.53518640200914,1.02461776845864,1,0.0492114072781988,4094.11206796882,0,0,550.957933900154,1839,0,4094.11206796875,4165.19600774693,4337.43755995063,0.00326345445623533,0.337117231286164,0,0,-9999,-7.41530357782208,0,0,0,0,0,0,0,-8.31052613446782,0,10.9312758030161,3.51946993413312e-07,0.0115565986774832,0.0491414077123356,0.0501115875126477,0.0522339571858112,161930.3,1
"95%PI",0.026681963765528,89998.114902671,0.00062409410958975,9.83434089167963,0.784831865249434,0,1,1.66652794091651,1.15635954165549,1,0.948403981991578,5463.01720329561,0,0,3640.47547302136,1976,0,5463.01716107879,5745.04677369487,7204.03784708002,0.0245516534942921,0.415704502473985,0,0,-9999,-4.23909675480109,0,0,0,0,0,0,0,-6.42146406821289,0,14.8597852596365,1.78898788483437e-05,0.053433017518478,0.121350960787021,0.127336141154568,0.159225879823711,3164237.65,1
"min",1.65672274306417e-06,28277.7832625623,6.50812537728273e-05,1.00006103515625,0.500003071548417,0,1,1.45777066845971,0.911125187333834,1,5.26262447237968e-05,3310.34295037389,0,0,132.798336862182,1837,0,3310.34297326755,3414.32310632445,3199.94729175763,-0.00677733653390022,0.288948665753824,0,0,-9999,-16.3143758996776,0,0,0,0,0,0,0,-15.5733641617542,0,9.34285014239401,2.13033230768489e-12,0.00374781744915797,0.0250658635260194,0.0263786129604032,0.0264092042494023,103,1
"max",0.0511074243066832,182192.118714956,0.000650422930875036,11.2156047594062,0.799998261523433,0,1,1.76022044765163,1.23688739945552,1,0.999960851855576,6979.61520359386,0,0,4940.48964321916,2030,0,6979.62165274464,7579.62877525496,11167.376328052,0.0442252527494593,0.488641202981155,0,0,-9999,-2.20615479167144,0,0,0,0,0,0,0,-6.41936514962763,0,26.8747431353784,8.7589437621037e-05,0.106700176236426,0.20375165695222,0.231644970979798,0.342720765015597,3330549,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
