"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.032","0.027","0.003","0.016","0.044","0.091","19,047"
"2","$K$","53,833","51,403","31,349","43,262","61,636","90,105","19,047"
"3","$z$","3.615","2.807","0.398","1.417","5.241","10.047","19,047"
"4","$Pmsy$","0.643","0.64","0.507","0.567","0.716","0.792","19,046"
"5","$P_{50}$","0.125","0.108","0.005","0.05","0.181","0.345","19,047"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,047"
"7","$N_{min}$"," 2,380"," 2,299"," 1,018"," 1,776"," 2,959"," 3,958","19,047"
"8","Max depletion","0.045","0.045","0.021","0.037","0.053","0.07","19,047"
"9","$q_{flt1}$","0.375","0.375","0.33","0.358","0.391","0.426","19,047"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,706"," 4,689"," 3,934"," 4,404"," 4,982"," 5,607","19,047"
"13","$N_{2021}$"," 4,867"," 4,838"," 3,994"," 4,513"," 5,181"," 5,926","19,047"
"14","$N_{2024}$"," 5,114"," 5,058"," 4,052"," 4,664"," 5,501"," 6,480","19,047"
"15","$N_{2030}$"," 5,616"," 5,491"," 4,096"," 4,913"," 6,180"," 7,856","19,047"
"16","Depletion in 2019","0.095","0.091","0.048","0.074","0.111","0.161","19,047"
"17","Depletion in 2021","0.098","0.094","0.049","0.076","0.116","0.171","19,047"
"18","Depletion in 2024","0.104","0.098","0.049","0.078","0.123","0.187","19,047"
"19","Depletion in 2030","0.115","0.107","0.05","0.082","0.138","0.226","19,047"
"20","$p(q)_{flt1}$","0.394","0.368","0.186","0.288","0.477","0.728",NA
