"","Year","B","A_xy","ln_A_xy_mu_sim","A_xy_mu_sim","ln_A_xy_var_sim","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"1","1999",0,1005.21410912405,6.91201856564641,1017.65397945254,0.0263888156281505,0.0263888156281505,0.00283567422018225,0.00320605557285944,0.00179619277324739,0.000520992746609357,0.00073178868723012,-0.0008661321387858,0.00205211436741639,7.65034140016224e-05,0.000748516012906423,0.00060425596073554,0.00179708284711834,0.00122819879156296,-0.00025070549618703,0.000899278585800729,0.000569058641253833,0.00128438486089831,0.000203761198608053,0.00169059398513229,0.00159465803854305,-0.00164154688834704
"2","2000",0.673841825095901,1971.98842762882,7.59248741782628,2020.55860364108,0.0375029499304209,0.00283567422018225,0.0375029499304209,0.00248197160920994,0.00150760279732024,0.00269022662096943,0.00223048651769102,-0.000892466729483087,0.00281877788272527,0.00269918140435715,0.00306725140013472,-0.00040607642165756,0.00101286500729462,0.00200773422993923,0.000280812834291049,-0.00143255760484531,5.56974360922086e-05,-0.0013340679019935,6.9477245416351e-05,-0.0010052785870788,-0.00166179314818137,-0.00248822490061097
"3","2005",0.16992707155609,1191.39827017016,7.07965865870149,1206.41780902781,0.0317198608937189,0.00320605557285944,0.00248197160920994,0.0317198608937189,0.0011735446014962,0.00165459074414937,0.000453436061253455,-0.000106025995922539,0.00216819782569222,-0.00240308255007388,0.0010521134984107,0.00120211524468693,0.00147524644318951,0.00184587979763172,-0.000149352134071719,-0.00189258347129206,-0.000647594363794092,-0.000418201102038051,-0.000616441966668628,0.00402281157365016,8.16180583457139e-05,-0.00602746326678605
"4","2006",0.386710787730888,1479.80652141382,7.298852830455,1507.32669792718,0.0383486842630974,0.00179619277324739,0.00150760279732024,0.0011735446014962,0.0383486842630974,0.000500601173451286,0.00101202507830932,0.00258164862206054,3.27647709012081e-05,0.00113408032413105,0.00278835585983478,0.000439083497732059,-9.29577904981418e-05,0.0017760764000853,0.00178814172977078,-0.00118039795099057,2.72895638990425e-05,6.14765010203434e-05,-0.000460744403848763,0.00257093695695569,0.00224737284802417,0.00119588132674562
"5","2007",0.818111688718899,2278.03277249787,7.7338319006728,2319.65134865061,0.0305456252925212,0.000520992746609357,0.00269022662096943,0.00165459074414937,0.000500601173451286,0.0305456252925212,0.0010002089113593,0.00143159441673597,0.00139263426717915,0.00374772011792868,0.00423447271859389,0.000853387895985309,0.000574413063859226,0.000742696906432362,0.00106957701149705,-0.000291726297952571,0.000981676663088114,-0.000145922156105366,-0.000447244768113003,0.00268766407625348,0.000551371012182982,-0.00207961026804403
"6","2008",0.678326087708755,1980.85119825179,7.59703485402192,2024.51341479692,0.0319944974533771,0.00073178868723012,0.00223048651769102,0.000453436061253455,0.00101202507830932,0.0010002089113593,0.0319944974533771,0.00175241537204429,0.00447305240955595,0.000243388088708945,0.00116440908665009,0.00158690787274196,0.00141144854688452,0.00248811769416876,0.000896395655381652,6.96411154717929e-05,0.000294517553010836,0.00119127318424788,-0.00181206930671858,0.00221990046687085,-3.01918282564797e-05,-0.00340792363012493
"7","2009",0.352618208531142,1430.20640248187,7.26506239364791,1470.76864894825,0.0571633694251633,-0.0008661321387858,-0.000892466729483087,-0.000106025995922539,0.00258164862206054,0.00143159441673597,0.00175241537204429,0.0571633694251633,-2.67884089955891e-05,0.000310204989728861,-0.00273007274986208,0.00255214517862289,5.3354059664648e-06,-0.00023213214934281,0.00151067258268501,0.00327152286474209,0.00273276158518404,0.00257515407498915,-0.000663768076453186,0.00248471886414944,0.0027042651562103,-0.00231948395641791
"8","2010",0.498720008062896,1655.19788687146,7.40730614214196,1728.67837072786,0.0962829369193987,0.00205211436741639,0.00281877788272527,0.00216819782569222,3.27647709012081e-05,0.00139263426717915,0.00447305240955595,-2.67884089955891e-05,0.0962829369193987,-0.0010850254313936,0.00152424122590941,0.00171480359382399,0.0013617057837316,0.00433076389580353,0.00258174501020075,-0.00223902202649597,0.00229209395665021,-0.00148845700108619,-0.00106219323955462,-0.00292797496258886,0.00483917427670778,0.00383560771418959
"9","2011",0.29259722261573,1346.88939955894,7.20830641134079,1389.74765792048,0.0566803758212773,7.65034140016224e-05,0.00269918140435715,-0.00240308255007388,0.00113408032413105,0.00374772011792868,0.000243388088708945,0.000310204989728861,-0.0010850254313936,0.0566803758212773,0.0031071660153519,-0.00226168444295598,-0.00394267699113918,0.000735911118239016,0.00114058244788338,-0.00200288670637203,0.000813513010766744,0.00125598122393754,-0.0017153264708302,0.000196822850070468,-1.63120380126657e-05,0.00441229264254494
"10","2012",0.601105201452447,1833.64495426052,7.50762600018439,1892.17551748835,0.0756109240776084,0.000748516012906423,0.00306725140013472,0.0010521134984107,0.00278835585983478,0.00423447271859389,0.00116440908665009,-0.00273007274986208,0.00152424122590941,0.0031071660153519,0.0756109240776084,0.00029596663368627,0.00060170904456779,-0.000320228809707818,-0.000806718485257995,0.000985917563123374,-0.000398956445999452,6.34110433168129e-05,-0.00117145688124627,-0.000833654804198541,0.00168202693487234,-0.00227043040732129
