"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.014125310169348,61391.156549703,0.000370085951409574,4.25872058166543,0.649473099589548,0,1,1.6001975725064,1.09006352302051,1,0.500278960062214,4741.62000421024,0,0,1813.40784973827,1877.30785,0,4741.62007882719,4906.71717080326,5155.01057840471,5629.47890315005,0.0138362459346495,0.375105450989693,0,0,-9999,-5.73851833232506,0,0,0,0,0,0,0,-6.91172628607834,0,12.6502446184034,5.85650309647606e-06,0.0286917826144898,0.0821131713567045,0.0851088447264871,0.0896761378168231,0.0985154742404614,1673181.13229976,1
"median",0.0137137001205701,59156.777902443,0.000378805785933137,3.46895640799108,0.649478150706273,0,1,1.59970286950375,1.08993704372863,1,0.505326547776349,4718.09755134164,0,0,1620.74242397766,1851,0,4718.09761665037,4877.03634736996,5106.6359735838,5533.86699932981,0.0136060156088612,0.374391913903452,0,0,-9999,-5.68660345453229,0,0,0,0,0,0,0,-6.64332955418174,0,12.5253161044716,3.63349303787274e-06,0.0267589219680942,0.0796424068286203,0.0822566783375011,0.0862809069684105,0.0937232625163257,1668177,1
"2.5%PI",0.00168516164441826,39188.9698724851,8.14482314116474e-05,1.07293131130748,0.506914763096138,0,1,1.52114131210988,1.01184354941383,1,0.0239032561541535,3984.7673648945,0,0,452.850126731622,1839,0,3984.76736548661,4049.5892680335,4117.355561735,4189.35391228131,0.00219340645375805,0.329652317830381,0,0,-9999,-7.97713040737549,0,0,0,0,0,0,0,-8.87998697370654,0,10.58656061564,1.85147496462098e-07,0.0100609892598279,0.0454578148537364,0.0459939570142175,0.0467529224592571,0.0479657142018747,86241.1,1
"97.5%PI",0.0293567303445889,96040.063721835,0.00063706740071251,10.4641115470256,0.79207155711425,0,1,1.67886644772313,1.16768673858004,1,0.973879864369519,5625.08418110781,0,0,3823.90271118511,1985,0,5625.08435109355,5935.8688646049,6439.09355417072,7604.87016656155,0.0268177856357072,0.423847534522572,0,0,-9999,-3.9206793458744,0,0,0,0,0,0,0,-6.41986680327034,0,15.5021133290769,2.52531424030764e-05,0.0578303401705938,0.131551993505561,0.138557572492724,0.149967890813328,0.17548938252527,3274035.75,1
"5%PI",0.00295989330124576,41395.2105737875,9.79173355953563e-05,1.15387405012522,0.514302082809154,0,1,1.5344402823831,1.02431540712827,1,0.0476645330199972,4087.78211685596,0,0,548.807207792784,1839,0,4087.78211685565,4169.34183991291,4254.80302994559,4358.41298548111,0.00377428718772935,0.336865152391086,0,0,-9999,-7.42281027202078,0,0,0,0,0,0,0,-8.30853258276504,0,10.8900042990436,3.49875098373327e-07,0.0115858033296321,0.0499324121024275,0.0507509806567434,0.0518585573228083,0.0533773787166532,163020.15,1
"95%PI",0.0267431123770074,88448.7404972577,0.000624880605615389,9.8111299766208,0.784553613280877,0,1,1.66614241038875,1.15566982474467,1,0.948904484673403,5470.4040909512,0,0,3588.05828707006,1974,0,5470.40409254145,5746.93318025547,6208.97136881165,7198.02134361116,0.0247603464475165,0.415960443663727,0,0,-9999,-4.19167773153052,0,0,0,0,0,0,0,-6.42153927473699,0,14.8656896098203,1.86436621814271e-05,0.0525118076821395,0.122242442081514,0.128278334888534,0.138703125540463,0.16024952656405,3190618.9,1
"min",2.91500939056277e-06,28264.865171727,6.50812537728273e-05,1.00021302192048,0.500020614871755,0,1,1.44782306868492,0.911125187333834,1,3.45513690263033e-05,3315.28694659937,0,0,149.714081117387,1837,0,3315.28694664214,3418.89846750623,3357.45672315851,3315.63256428552,-0.00641764571861536,0.282220965210688,0,0,-9999,-13.3538591681999,0,0,0,0,0,0,0,-15.7782034686017,0,9.28942231906304,2.67355484984715e-10,0.00396906043722283,0.023809962917699,0.0252163471282522,0.0243325817571357,0.0236273321728111,121,1
"max",0.046266400620807,182192.118714956,0.000650590370466677,11.2157144453504,0.799999366886914,0,1,1.75348043701805,1.24634960147935,1,0.999957563355565,6897.96850511339,0,0,4734.49384380309,2030,0,6897.9685139377,7285.49884178801,8110.88141011394,10306.819402906,0.0400395676296099,0.4770644392064,0,0,-9999,-2.14819404705806,0,0,0,0,0,0,0,-6.41936518569773,0,22.0424419386241,9.23964205167666e-05,0.106700176236426,0.205615333198636,0.210873227564701,0.231110071386615,0.31790214438485,3357432,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
