"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2004","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2004","status2021","status2024","status2030","draw","save"
"mean",0.0134735409804754,62128.0586062355,0.000367146455291591,4.26017704380513,0.649517543559681,0,1,1.60004794625404,1.0902171426595,1,0.497260762795259,3956.7794440286,0,0,1898.00711463058,1880.70435,0,3956.77949709905,4873.41670256432,5110.64101182454,5559.57304714647,0.0131747124982234,0.375470047661366,0,0,-9999,-5.70678949526262,0,0,0,0,0,0,0,-6.92519760106762,0,12.6319870963302,6.07939661420153e-06,0.0297721358730713,0.0670378873541996,0.0835638530127122,0.0878844843757165,0.0961507996238623,1993909.35685023,1
"median",0.0130387218808755,59811.1277766816,0.000371202017727344,3.48544298362226,0.650118124834262,0,1,1.59989639284497,1.09038276304977,1,0.495105284382589,3941.91533784615,0,0,1713.3283382902,1851,0,3941.91533784231,4844.27355609906,5064.76625606555,5468.75754576923,0.0128977972818016,0.374810731282973,0,0,-9999,-5.66632498694467,0,0,0,0,0,0,0,-6.6453886959638,0,12.5004693419908,3.72490451139425e-06,0.0279005709357045,0.065805241756305,0.0810072455327171,0.0846997252342213,0.0915081763432514,1996968,1
"2.5%PI",0.00130843814677792,39382.4558468624,8.10605389539205e-05,1.07456414548997,0.507066710479558,0,1,1.52235001464874,1.0129918719877,1,0.0261268474452663,3374.39004385494,0,0,468.956425616099,1839,0,3374.39004202384,4029.07290105688,4093.16759523136,4150.92827163285,0.00165895066269696,0.329628876202616,0,0,-9999,-7.83618659602104,0,0,0,0,0,0,0,-8.99243349214776,0,10.5670472802622,1.93597738552896e-07,0.0103587329276744,0.0410119265749066,0.0453985668071335,0.0461028213747066,0.0468327450469661,104626.6,1
"97.5%PI",0.0285478743817657,97364.2637169999,0.000637128417864778,10.4662585272966,0.792095260416972,0,1,1.67930400820404,1.16864991451227,1,0.973918069590581,4595.84298930713,0,0,3926.98015009698,1989,0,4595.83288720601,5887.64670060782,6382.89055515268,7472.33359162849,0.0262642875215206,0.424828459712184,0,0,-9999,-3.89609277904853,0,0,0,0,0,0,0,-6.41987715331297,0,15.4574833867388,2.57507377633211e-05,0.0599704294297187,0.0996837151795776,0.136738080616927,0.148178126978175,0.171717326903775,3884268.675,1
"5%PI",0.00247609923337586,41839.3039929544,9.77709736556346e-05,1.15391961619398,0.514306159236003,0,1,1.53446976257734,1.02467765924537,1,0.0494555644108914,3463.5688010545,0,0,570.255415947199,1839,0,3463.56858000133,4140.63779605323,4224.91573547174,4315.77906059099,0.00315129143631015,0.336514089834909,0,0,-9999,-7.37486593138424,0,0,0,0,0,0,0,-8.3711346478784,0,10.8802864034318,3.60144775695394e-07,0.0120285884424256,0.0445653728543298,0.0498545747825426,0.0508087868259846,0.0523098002477461,206077.2,1
"95%PI",0.0259088251310168,89394.3885880747,0.000623401425655044,9.81399109887273,0.78458795822342,0,1,1.66544755224128,1.15577757256482,1,0.947165892762132,4483.92014167853,0,0,3686.30756185961,1977,0,4483.92015757052,5714.42380402856,6139.52258324892,7105.34718772353,0.0240728835659865,0.416595205476721,0,0,-9999,-4.16540372088484,0,0,0,0,0,0,0,-6.42149889466045,0,14.836759732275,1.88257225333007e-05,0.0542848622384106,0.0942623233019396,0.126625268911199,0.135953293249957,0.155960027908594,3789544.35,1
"min",2.91500939056277e-06,29860.2275277647,6.50725464690717e-05,1.00024489444891,0.500023706606589,0,1,1.43956500584819,0.936229183560002,1,1.03535130620003e-05,2868.1208787486,0,0,139.341698553547,1837,0,2868.12091874402,3345.13878586919,3339.64370927196,3276.14754891364,-0.00683843854998367,0.286607508762442,0,0,-9999,-14.2516731965403,0,0,0,0,0,0,0,-15.4464310389987,0,8.6379131289156,1.72428539459308e-11,0.00428083049468856,0.0229929101922992,0.0224655613176016,0.0227230674549532,0.0238236580834227,244,1
"max",0.0441690832120366,192127.843850913,0.000650560702402752,11.2134914775258,0.799976962059736,0,1,1.75756811533746,1.24765057560029,1,0.999995179707184,5399.01751112193,0,0,5185.60245472948,2030,0,5399.01751224655,7291.84356548496,7946.58963702726,10424.0427836809,0.0385147728904072,0.499139990066015,0,0,-9999,-2.1484883639427,0,0,0,0,0,0,0,-6.41936515331196,0,24.7836233222862,0.000177256427846106,0.107416779559082,0.133140861384922,0.211395015284096,0.238013053376977,0.286880790568343,3982335,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
