"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.013","0.013","0.001","0.008","0.018","0.029","18,955"
"2","$K$","62,478","60,213","39,571","51,310","70,898","99,236","18,955"
"3","$z$","4.233","3.417","1.073","1.935","6.061","10.532","18,955"
"4","$Pmsy$","0.648","0.647","0.507","0.573","0.724","0.793","18,955"
"5","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","18,955"
"6","$N_{min}$"," 1,909"," 1,730","   468"," 1,085"," 2,671"," 3,896","18,955"
"7","$N_{2004}$"," 3,959"," 3,945"," 3,380"," 3,747"," 4,162"," 4,596","18,955"
"8","$N_{2021}$"," 4,864"," 4,833"," 4,007"," 4,524"," 5,171"," 5,893","18,955"
"9","$N_{2023}$"," 5,027"," 4,985"," 4,055"," 4,640"," 5,369"," 6,231","18,955"
"10","$N_{2030}$"," 5,544"," 5,446"," 4,130"," 4,924"," 6,068"," 7,508","18,955"
"11","Max depletion","0.03","0.028","0.01","0.02","0.038","0.06","18,955"
"12","Depletion in 2004","0.067","0.066","0.04","0.056","0.077","0.099","18,955"
"13","Depletion in 2021","0.083","0.08","0.045","0.066","0.097","0.136","18,955"
"14","Depletion in 2023","0.086","0.083","0.045","0.068","0.101","0.144","18,955"
"15","Depletion in 2030","0.095","0.091","0.046","0.072","0.114","0.172","18,955"
"16","$q_{flt1}$","0.376","0.375","0.331","0.359","0.392","0.426","18,955"
"17","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"18","$sigma_q$","0","0","0","0","0","0","     1"
"19","$p(q)_{flt1}$","0.396","0.369","0.188","0.289","0.48","0.73",NA
