"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.013148443856312,61552.9531646294,9.77175254269125e-05,4.25822806664308,0.64947723080295,0,1,1.59963843869889,1.09023142829178,1,0.4973787300786,4773.08754643985,0,0,1967.15499295633,1876.06585,0,4773.08759306091,4909.944864035,5119.50849548644,5554.12653440718,0.0130337918987191,0.373587861822761,0,0,-9999,-6.08171134657033,0,0,0,0,0,0,0,-6.92377696954594,0,13.0054883161163,3.22186916053221e-06,0.0310329062426289,0.0816045646730951,0.0840763402399702,0.0878784342791248,0.0958113219044927,1870990.88840021,1
"median",0.0128585102106444,60079.5605432239,9.77240247584935e-05,3.47036610857851,0.649532985955011,0,1,1.59995959254362,1.09031948947412,1,0.499431863543577,4750.73430120246,0,0,1779.25525993502,1851,0,4750.73430345744,4879.0683732642,5079.22234867928,5472.3245692429,0.0128149564884784,0.373040922899218,0,0,-9999,-5.97084452330241,0,0,0,0,0,0,0,-6.65398958462749,0,12.7961157000788,2.77151709542686e-06,0.0294883166195594,0.0791357024194642,0.0813410179176579,0.0847225503598854,0.0914291661704893,1872329,1
"2.5%PI",0.0016891096890904,40781.3308313324,6.66851268834358e-05,1.07940382863824,0.507516360500595,0,1,1.52010939741797,1.01234863767479,1,0.0228015219618101,4057.14299953834,0,0,533.589601589752,1839,0,4057.14301366585,4106.9467529828,4170.61253702936,4254.65564705658,0.00200044526027652,0.330414841060493,0,0,-9999,-7.92446702830883,0,0,0,0,0,0,0,-8.94010557508483,0,11.6236548295983,1.64255441831436e-07,0.0117649616731304,0.0478229849719439,0.0483605121789339,0.0489708836648159,0.0500566973357244,93706.35,1
"97.5%PI",0.0266315112724551,90754.6075138231,0.000128588090671114,10.4871347183096,0.792325410410412,0,1,1.67775197126654,1.16848466677093,1,0.974520348384977,5611.91889104026,0,0,3945.46225946248,1976,0,5611.91887061462,5867.83616075404,6315.42502275946,7314.63949483701,0.025909692515396,0.420110374879174,0,0,-9999,-5.0118231323941,0,0,0,0,0,0,0,-6.4198507775077,0,15.6218433831232,8.95180984830911e-06,0.0590223648312442,0.128076187688286,0.13396010383987,0.143579832404384,0.165017773736324,3655278.55,1
"5%PI",0.00293331564031541,42950.311370169,6.84622955251249e-05,1.15386137875162,0.51430094918469,0,1,1.53328604691968,1.02418688869216,1,0.0472202651784755,4164.76599623449,0,0,645.938282656699,1839,0,4164.76599623443,4221.16865123353,4294.18840411539,4410.6570334555,0.00329491645492932,0.337475562226311,0,0,-9999,-7.37159402889371,0,0,0,0,0,0,0,-8.35887862182061,0,11.7709076799848,3.1571816734887e-07,0.013528673375091,0.0519409732786926,0.05263592254104,0.0534782440897115,0.0550962883393686,184424.7,1
"95%PI",0.0242983633208787,85366.2247886705,0.000127040227584423,9.84708069325452,0.784984229718102,0,1,1.66525557973829,1.15596642715537,1,0.947255875519477,5466.5668801649,0,0,3725.35652344393,1970,0,5466.56690874151,5700.70643924962,6084.14290461309,6967.34401181415,0.0236784885483779,0.41185805486283,0,0,-9999,-5.14315136491821,0,0,0,0,0,0,0,-6.4213296966083,0,14.9684158984191,7.72608972941356e-06,0.0545802480133632,0.118880670105293,0.124167054937372,0.132705889747169,0.151379443354773,3561914.65,1
"min",1.79033726453781e-06,30745.0013212307,6.5062850419203e-05,1.0002557436102,0.500024759443477,0,1,1.43956500584819,0.939382588494032,1,1.05099752545357e-06,3430.98368314095,0,0,196.653232687943,1837,0,3430.98369314694,3503.57395473658,3518.6738811918,3434.9501131858,-0.0042728945414594,0.292536064456997,0,0,-9999,-14.204247210006,0,0,0,0,0,0,0,-14.3979565835379,0,10.8095032201786,4.3771186321271e-10,0.00449548292747685,0.0304750727156652,0.0305621458435661,0.030903910876651,0.0309618419152657,82,1
"max",0.0444477272941731,131268.83717707,0.000130112000587942,11.2157144453504,0.799999366886914,0,1,1.75593736549463,1.24770659637867,1,0.999957563355565,6660.90721236542,0,0,5075.43459002038,2030,0,6660.90721246087,6939.96709586737,7731.80354239508,9541.64009304341,0.0389387079586232,0.485746855765423,0,0,-9999,-4.3804361413974,0,0,0,0,0,0,0,-6.41936514527243,0,21.5494602685744,2.02065606794245e-05,0.0887873470682854,0.198123618582866,0.210392574417894,0.23416406715079,0.294569761117365,3746682,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
