"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.0626887837936111,54350.496496372,0.000369145385598444,2.5844407933086,0.72177827256317,0.0635009509441093,1,1.59883157680396,1.08976888704651,1,0.478463249415136,4450.80525500911,0,0,3469.63946442573,1963.47585,0,4450.8048234267,4527.21809989512,4618.67061424606,4741.36801713771,0.00536736907332637,0.379240260706965,0,0,-9999,-6.24794212652813,0,0,0,0,0,0,0,-6.92356489524876,0,13.1715070217769,3.73140372193628e-06,0.0709763323581816,0.0953863990777375,0.0972508006121181,0.0996460017610185,0.103370273819728,1194110.16859993,1
"median",0.0676539272209629,49735.8363964156,0.000377043348539076,2.35220939973402,0.72618090941105,0.0522072715451941,1,1.59878640923244,1.08983066689346,1,0.468381440150551,4424.79002102045,0,0,3546.25261413784,1972,0,4424.79002039657,4494.46840070271,4573.81398433733,4651.14939583227,0.00498447130009805,0.378736001194094,0,0,-9999,-6.19332310443089,0,0,0,0,0,0,0,-6.64088794415906,0,13.057460252775,2.13411129756479e-06,0.0698842685285846,0.0884269210641998,0.0895890478108136,0.0907959814974987,0.091660398132487,1199983.5,1
"2.5%PI",0.00337091070483439,26753.3258501288,8.28684325349388e-05,0.0828706411705827,0.628015691083855,0.00236546454718337,1,1.52043128765059,1.01104870620425,1,0.0216855714214034,3770.07093240856,0,0,2228.20451087315,1841,0,3770.07093122539,3780.58654018279,3774.80459053441,3677.924666469,-0.00334747282438519,0.332782102257863,0,0,-9999,-8.48919984594514,0,0,0,0,0,0,0,-8.96142445911251,0,10.961405516521,1.0606419806792e-07,0.0349410424006628,0.04052790940976,0.0408174303425741,0.040901532735535,0.0407968228330755,57000,1
"97.5%PI",0.108268029161322,104779.172010401,0.000637354178279768,5.92678299058675,0.796537493605865,0.178547901139828,1,1.67746018216116,1.16804395284547,1,0.969329253630713,5271.54808524356,0,0,4377.40122921076,2030,0,5271.54622806179,5448.54595096815,5716.11275129646,6315.80022567343,0.0157141194303637,0.429131868011062,0,0,-9999,-4.29781908577465,0,0,0,0,0,0,0,-6.41982793657448,0,16.0592212894935,1.73588947623683e-05,0.114691825467168,0.180941068243318,0.186903119367841,0.197840857456473,0.219940821944968,2318532.075,1
"5%PI",0.00686678529111669,28368.2240558329,9.9048992172546e-05,0.164263902842156,0.636290749222971,0.00467593273846433,1,1.5336430378055,1.02417366867483,1,0.042260524269659,3864.24343250226,0,0,2433.80078699924,1845,0,3864.24343233549,3891.28912713656,3884.63340320285,3818.18862907782,-0.00206822953644128,0.339956785724141,0,0,-9999,-8.06367730595574,0,0,0,0,0,0,0,-8.3656752954777,0,11.289028738779,1.97616456068146e-07,0.0388225841886651,0.0446300242028555,0.0450606604189699,0.0454184203039346,0.0450221049831844,118432.15,1
"95%PI",0.106515133351204,95405.0945594046,0.000624315093762057,5.64960479938775,0.793537005493417,0.163389702579007,1,1.66486043005725,1.15463741481274,1,0.94167884264607,5118.76403176575,0,0,4264.19997038088,2027,0,5118.76473566695,5274.88494302209,5507.1458011848,5976.07094248668,0.0140392903031179,0.420786307487081,0,0,-9999,-4.60381991625844,0,0,0,0,0,0,0,-6.42130507088536,0,15.4369377814756,1.2509418232305e-05,0.107389800171235,0.167372690595053,0.172562945918002,0.181045895279556,0.198067116729573,2258213.7,1
"min",1.56930088996887e-05,20440.6444934448,6.50784566326138e-05,1e-08,0.607879464002326,2.74665653705597e-06,1,1.44594679025286,0.939127473488678,1,6.72671012580395e-06,3218.35901960731,0,0,1163.51289861541,1836,0,3218.35901943226,3105.1850525553,3159.47757244266,2947.77966889542,-0.0109838456285553,0.297201142207609,0,0,-9999,-12.029002074668,0,0,0,0,0,0,0,-16.0002555478362,0,9.67205925542332,2.36723704762222e-11,0.015267984500251,0.015801200890533,0.0167179588122428,0.016324451639721,0.0156097664503055,105,1
"max",0.109986781920306,212802.044453041,0.000650586643809381,6.43523179464921,0.799999227002263,0.199942995421588,1,1.7541216094121,1.25979647042591,1,0.999989045085385,6273.03965254687,0,0,5099.41468440813,2030,0,6273.05597209939,6763.76998953576,7371.70572361358,9258.25098368818,0.0262099006482128,0.493194205542751,0,0,-9999,-2.82436060785049,0,0,0,0,0,0,0,-6.41936514313396,0,24.4667125505551,6.30199474546911e-05,0.157212920459804,0.279713999565501,0.295313176652586,0.33308221894236,0.425006906682881,2377736,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
