"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.065","0.07","0.004","0.04","0.092","0.108","19,447"
"2","$K$","52,693","48,037","26,678","36,586","64,397","101,129","19,447"
"3","$z$","2.602","2.356","0.093","1.093","4.002","5.994","19,447"
"4","$Pmsy$","0.72","0.724","0.625","0.679","0.764","0.796","19,447"
"5","$P_{50}$","0.047","0.034","0.001","0.015","0.065","0.164","19,447"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,447"
"7","$N_{min}$"," 3,373"," 3,435"," 2,146"," 2,991"," 3,801","  4,327","19,447"
"8","Max depletion","0.07","0.07","0.036","0.056","0.084","0.11","19,447"
"9","$q_{flt1}$","0.379","0.378","0.333","0.362","0.395","0.43","19,447"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,472"," 4,452"," 3,783"," 4,208"," 4,715","  5,289","19,447"
"13","$N_{2021}$"," 4,555"," 4,530"," 3,800"," 4,263"," 4,820","  5,463","19,447"
"14","$N_{2024}$"," 4,661"," 4,623"," 3,802"," 4,316"," 4,965","  5,754","19,447"
"15","$N_{2030}$"," 4,820"," 4,730"," 3,730"," 4,344"," 5,208","  6,383","19,447"
"16","Depletion in 2019","0.098","0.092","0.042","0.067","0.125","0.181","19,447"
"17","Depletion in 2021","0.1","0.094","0.042","0.068","0.127","0.188","19,447"
"18","Depletion in 2024","0.103","0.095","0.043","0.069","0.131","0.199","19,447"
"19","Depletion in 2030","0.108","0.097","0.042","0.069","0.137","0.221","19,447"
"20","$p(q)_{flt1}$","0.4","0.374","0.19","0.291","0.484","0.744",NA
