"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.0647010542579013,52692.793099037,0.000367381495868333,2.60233825511994,0.720049853661312,0.0465995454983841,1,1.59895896859579,1.08981314959624,1,0.479213887739194,4471.84359655632,0,0,3373.26772561444,1955.50865,0,4471.84356150342,4554.73790419083,4661.35806427578,4820.0775824144,0.00609340884380728,0.379097330147568,0,0,-9999,-6.13216576026597,0,0,0,0,0,0,0,-6.9288079069682,0,13.0609736672342,4.12095483891614e-06,0.0704136630406176,0.0981032941698177,0.100172831612478,0.102974076083728,0.107611969792789,976249.548200079,1
"median",0.0700758168916218,48036.7771492097,0.00037242711796969,2.35596881000323,0.724222236452624,0.0344939960298112,1,1.59880058958456,1.08979767849651,1,0.468870427808725,4451.61661948078,0,0,3434.51117568735,1969,0,4451.61661257445,4529.5750949075,4622.93123638838,4729.74216752279,0.00580775457273952,0.378172017966764,0,0,-9999,-6.07790051598417,0,0,0,0,0,0,0,-6.64918566333191,0,12.9345071181023,2.41332011360728e-06,0.0701711774854716,0.0922900814012789,0.093863692398784,0.0953107039650674,0.0970808049535441,978712,1
"2.5%PI",0.00403604519879446,26678.3342493256,8.10040552253788e-05,0.0934828215236056,0.625403585555031,0.00132292741742678,1,1.52098101816153,1.01078469959487,1,0.0222884886490647,3782.84357908997,0,0,2146.08712451762,1840.975,0,3782.84358066077,3800.19574622946,3801.9038026139,3729.90378809388,-0.00279511977567539,0.332712289384627,0,0,-9999,-8.36494448404702,0,0,0,0,0,0,0,-8.94460039408481,0,10.9090455470782,1.17748870388148e-07,0.0359795881951718,0.0417397592600757,0.0422727996069007,0.0425249916836785,0.0419635653016933,49638.275,1
"97.5%PI",0.108348734756408,101128.994511383,0.000636821992739263,5.99398970836832,0.79636452799663,0.163643506654644,1,1.67721170414464,1.16630192956025,1,0.969500133028487,5289.47630117473,0,0,4327.25245002889,2029,0,5289.47797956444,5463.10147131186,5754.10383484045,6382.99494471817,0.0163734554033205,0.429904932704795,0,0,-9999,-4.21140546411283,0,0,0,0,0,0,0,-6.41986378084838,0,15.9547117317409,1.82920220435244e-05,0.109788446712574,0.181246399251858,0.188330026557707,0.19937175119447,0.221287286229121,1896140.675,1
"5%PI",0.00806204524787609,28245.7791792166,9.66509417475004e-05,0.200780432293871,0.633366373288446,0.00269007494416098,1,1.53301064136763,1.02413738289593,1,0.0444407235714607,3881.93782271352,0,0,2337.7090912818,1842.95,0,3881.93765595812,3903.76684493492,3918.94628221613,3873.8921960649,-0.00148625951175993,0.339980478822577,0,0,-9999,-7.91946630170298,0,0,0,0,0,0,0,-8.38411887829961,0,11.2210890959624,2.20755511058508e-07,0.0397683787610439,0.0463662196310163,0.0467613164646834,0.0470190841820057,0.0467405748243632,97861.1,1
"95%PI",0.106603321695002,92020.8374083112,0.000623596044193925,5.71090324601496,0.79280963965226,0.133194675052928,1,1.66477181635442,1.15497024153466,1,0.94443921908969,5136.30326555227,0,0,4211.39311708398,2019,0,5136.30112258131,5289.47489776367,5532.43077701047,6064.39682997909,0.0146533287883377,0.421013656615155,0,0,-9999,-4.51467799012388,0,0,0,0,0,0,0,-6.421294243817,0,15.3262100400951,1.33888391681022e-05,0.103005713463753,0.168360104617729,0.174184960682338,0.183089925932016,0.202389240901434,1849421.85,1
"min",1.73278851434588e-06,20883.290090776,6.50954153432164e-05,0.00018311546875,0.607439822517335,1.73657121332005e-06,1,1.43568721419245,0.915678494514728,1,3.08791641145945e-05,3021.52633166406,0,0,1338.62064402187,1837,0,3021.52633166415,3007.37823078202,2771.02541094907,2558.96693341594,-0.0116209121494333,0.287892393718873,0,0,-9999,-12.5164168325425,0,0,0,0,0,0,0,-16.1894820209127,0,9.30462149349643,1.72691994353521e-10,0.0157902208805846,0.0170304308057785,0.0171551125771951,0.0186877384877921,0.0190734409471998,110,1
"max",0.109998255737592,261416.441416067,0.000650575277606879,6.45016450804605,0.79999834029004,0.467485612448884,1,1.7512840698244,1.27662754556512,1,0.99992576171644,6315.39037481416,0,0,5232.65321103291,2030,0,6315.38332769641,6697.55110741779,7059.2920912972,9846.44142150169,0.0272179110275346,0.508523503016433,0,0,-9999,-2.87194298693676,0,0,0,0,0,0,0,-6.41936515563061,0,22.4795114876493,9.10026898132926e-05,0.155270313180406,0.260887593578255,0.278834426686381,0.297950301649018,0.419951593601795,1941859,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
