"","Model","BayesFactor","WAIC"
"1","Base",0.2362,27.138
"2","Dep-1",0.2319,27.0829
"3","Dep-2",0.2284,27.092
"4","Dep-3",0.1505,28.3416
"5","Dep-4",0.153,28.2162
"6","MA",NA,NA
