"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.034","0.028","0.003","0.016","0.047","0.093","19,044"
"2","$K$","52,635","50,119","29,864","41,786","60,656","89,526","19,044"
"3","$z$","3.697","2.871","0.406","1.482","5.406","10.093","19,044"
"4","$Pmsy$","0.645","0.642","0.507","0.57","0.719","0.792","19,044"
"5","$P_{50}$","0.125","0.109","0.005","0.052","0.178","0.341","19,044"
"6","$sigma$","0.019","0.019","0.009","0.015","0.023","0.025","19,044"
"7","$N_{min}$"," 2,447"," 2,381"," 1,044"," 1,868"," 3,011"," 3,971","19,044"
"8","Max depletion","0.048","0.047","0.021","0.039","0.057","0.074","19,044"
"9","$q_{flt1}$","0.375","0.374","0.33","0.359","0.391","0.425","19,044"
"10","$eta_{q_{flt1}}$","0","0","0","0","0","0","     1"
"11","$sigma_q$","0","0","0","0","0","0","     1"
"12","$N_{2019}$"," 4,706"," 4,684"," 3,934"," 4,403"," 4,980"," 5,615","19,044"
"13","$N_{2021}$"," 4,864"," 4,828"," 3,988"," 4,510"," 5,186"," 5,925","19,044"
"14","$N_{2024}$"," 5,111"," 5,051"," 4,044"," 4,662"," 5,507"," 6,501","19,044"
"15","$N_{2030}$"," 5,618"," 5,481"," 4,076"," 4,900"," 6,188"," 7,913","19,044"
"16","Depletion in 2019","0.097","0.093","0.048","0.075","0.115","0.169","19,044"
"17","Depletion in 2021","0.101","0.097","0.049","0.077","0.12","0.179","19,044"
"18","Depletion in 2024","0.107","0.101","0.05","0.08","0.127","0.196","19,044"
"19","Depletion in 2030","0.118","0.109","0.05","0.084","0.143","0.236","19,044"
"20","$p(q)_{flt1}$","0.394","0.368","0.187","0.288","0.478","0.726",NA
