"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2030","draw","save"
"mean",0.0139188301106996,61785.3997804887,0.000369133967009467,4.2467727338653,0.648887364062,0,1,1.60007132243011,1.09018979452182,1,0.499650397521502,4739.34209900515,0,0,1849.88032822295,1879.1722,0,4739.34198377852,4901.45895737895,5615.91644280342,0.013485326917253,0.375272861965842,0,0,-9999,-5.75794223659693,0,0,0,0,0,0,0,-6.9181474874795,0,12.6760897240764,5.66212669698014e-06,0.0290819202353698,0.0816895329816803,0.084637180422882,0.0978841697183869,1659809.9549,1
"median",0.0134848564909771,59440.4381163786,0.000375114497116921,3.45370674702319,0.648883596714586,0,1,1.59995391369767,1.0898923638873,1,0.502177293179557,4711.72490047756,0,0,1656.17517235287,1851,0,4711.72488564702,4863.4291567501,5516.91317018568,0.0132414551232146,0.374686041713342,0,0,-9999,-5.69984077691485,0,0,0,0,0,0,0,-6.64546400334613,0,12.5460625651511,3.55888750956078e-06,0.0270604958044831,0.0793968630006996,0.0819557706912226,0.0928925848713827,1654347,1
"2.5%PI",0.00143623034952907,39394.0883315316,8.2074282386707e-05,1.07532075880628,0.507137077469961,0,1,1.5215360666606,1.01251097251678,1,0.0242501619970426,3976.41519217112,0,0,442.781099218661,1839,0,3976.41519163048,4033.38587830246,4153.26420388775,0.00152171754022707,0.33003005855296,0,0,-9999,-7.93771205683393,0,0,0,0,0,0,0,-8.93142441050906,0,10.6302637024003,1.75704714862327e-07,0.0100008729785477,0.0448404496011945,0.0453251957648042,0.0470469177192202,85585.975,1
"97.5%PI",0.0297734130256576,97403.1268509903,0.00063680836824856,10.5110709974347,0.792588558376301,0,1,1.67864335574092,1.16849036630096,1,0.974533270759276,5648.44420893351,0,0,3884.67984117432,1988,0,5648.4729859876,5952.66474391781,7612.5116908387,0.0269504302059565,0.423804124031663,0,0,-9999,-3.97234227065073,0,0,0,0,0,0,0,-6.41979077429385,0,15.5544610076988,2.41732549718648e-05,0.0591629992753612,0.131349642011484,0.138826685068234,0.175684225967105,3249673.375,1
"5%PI",0.00258546092256438,41669.095461456,9.89759674673492e-05,1.15104368285572,0.514048693538644,0,1,1.53401682570738,1.02419592908456,1,0.0497819350799546,4089.97281821445,0,0,551.29951285851,1839,0,4089.97281851852,4163.24025159465,4337.72896732622,0.00311545968024962,0.336989856490461,0,0,-9999,-7.44325580819898,0,0,0,0,0,0,0,-8.31950975873364,0,10.9275200928561,3.54287860493951e-07,0.0116209525693201,0.0492002602260469,0.0500877611053676,0.05231720556076,161930.3,1
"95%PI",0.0267849408165785,89888.3498664185,0.000624149458132944,9.86966334938425,0.785253687313525,0,1,1.66616262994456,1.15637253381359,1,0.948235648812261,5475.96928117914,0,0,3652.10667583716,1976,0,5475.97373147302,5753.2675212692,7224.15211247699,0.0246472678598716,0.415656114010897,0,0,-9999,-4.23971403778329,0,0,0,0,0,0,0,-6.42146584448964,0,14.8531560979301,1.79571877297624e-05,0.053650874392014,0.121740575159759,0.127906970403715,0.159821236083606,3164237.55,1
"min",1.65672274306417e-06,28277.7832625623,6.50812537728273e-05,1.00006103515625,0.500003071548417,0,1,1.43764942976781,0.911125187333834,1,5.26262447237968e-05,3308.92627609428,0,0,122.866528550813,1837,0,3308.9262760431,3292.53829543671,3194.98566938001,-0.00576503850513133,0.279257935416177,0,0,-9999,-16.9477486498427,0,0,0,0,0,0,0,-16.250740824325,0,9.34285014239401,1.53766052516277e-11,0.00292908615660867,0.0250658635260194,0.0263786129604032,0.0264092042494023,103,1
"max",0.055565558844246,182192.118714956,0.000650590370466677,11.2156047594062,0.799998261523433,0,1,1.76022044765163,1.23688739945552,1,0.999960851855576,7405.04677041899,0,0,4912.12108391268,2030,0,7405.04677800601,7888.91760742317,12116.8172154891,0.0473592927462063,0.482070825547968,0,0,-9999,-2.20615479167144,0,0,0,0,0,0,0,-6.41936515303756,0,24.898173901076,8.7589437621037e-05,0.106700176236426,0.237703484975904,0.264426195935992,0.413179925873471,3330549,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
