"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.063732119734738,52720.7239658002,0.000370484915590274,2.61287531196385,0.722687097804332,0.0643252488653115,1,1.59870288915943,1.08944031402946,1,0.476634295359416,4457.80429018216,0,0,3449.15589815555,1961.48825,0,4457.80394238074,4534.59865992733,4631.3330612599,4767.32322347648,0.0055328503274554,0.379095157217293,0,0,-9999,-6.22538653530191,0,0,0,0,0,0,0,-6.92320133926968,0,13.1485878745716,3.79267996610174e-06,0.0733132496031143,0.0992398625913667,0.101202737065167,0.103818378347158,0.108036495224576,1166655.20169984,1
"median",0.0693366664811038,47483.5576649387,0.000379227733586824,2.40484568528349,0.727987959678285,0.0538011157194851,1,1.59850846755847,1.0893736289985,1,0.464481469010934,4432.60974711739,0,0,3519.36277836936,1972,0,4432.60974115388,4504.23976227352,4584.49802191296,4670.86641765802,0.00515335635703184,0.378354516931922,0,0,-9999,-6.16862092538202,0,0,0,0,0,0,0,-6.64856764035907,0,13.0393667050012,2.17307639876602e-06,0.0722646340523193,0.0926683962506954,0.093923991536012,0.0952524290467237,0.0968812602084053,1172706,1
"2.5%PI",0.00321750284457812,25889.1521716454,8.19203495555725e-05,0.0807357402148589,0.627357053403976,0.00332631651607226,1,1.51804841513344,1.00994092150064,1,0.0229470955673605,3764.4947453175,0,0,2232.14852184816,1841,0,3764.49474370308,3780.62019599287,3769.91961548826,3665.98101913908,-0.0033346382734873,0.332697213489886,0,0,-9999,-8.48932200206915,0,0,0,0,0,0,0,-8.94911324256033,0,10.9476658786631,1.08129591260989e-07,0.0349988293313556,0.0405170884139018,0.0408017638768666,0.0408796476530759,0.0406739145090149,55606.75,1
"97.5%PI",0.108214152890897,104559.69856756,0.000637773814052829,5.92130825142513,0.796812300161691,0.177870594202098,1,1.67804061814832,1.16798361888791,1,0.971052540157688,5276.40978003328,0,0,4363.06276480612,2030,0,5276.39300647631,5456.01149400542,5760.40912865607,6377.9952935359,0.0159934748681822,0.429685348105967,0,0,-9999,-4.29010657148786,0,0,0,0,0,0,0,-6.41993866336549,0,16.0399354684206,1.75990457055966e-05,0.121372691781261,0.187056031987438,0.193536759446782,0.204497293818357,0.228585756804095,2264343.1,1
"5%PI",0.00703876108466647,27383.096504821,9.88592133733515e-05,0.172467216920114,0.636641213693656,0.0057531389443553,1,1.53143814513404,1.02326396562561,1,0.0447077655699104,3857.2881451447,0,0,2428.23945989362,1844,0,3857.28624356665,3883.63651841182,3889.9464814262,3811.6874372286,-0.00202424328644126,0.339676011134664,0,0,-9999,-8.02083382609962,0,0,0,0,0,0,0,-8.33784655051169,0,11.2742559057865,2.04527309024499e-07,0.0390670860892446,0.0449865023107422,0.0453008043867095,0.0454626353410961,0.045045426899244,116136.3,1
"95%PI",0.106646954697673,94718.1086993522,0.000624271968566177,5.63069613035117,0.793560548778623,0.161410588023777,1,1.66563271675174,1.15582694931554,1,0.944050617492757,5126.3409263012,0,0,4253.09295513083,2027,0,5126.34090214782,5284.12977929307,5535.75178372986,6047.98653400995,0.0142880395009262,0.420934758705374,0,0,-9999,-4.59069850368794,0,0,0,0,0,0,0,-6.42163653329116,0,15.4025643395983,1.26955895806539e-05,0.112490440390766,0.173573777846986,0.179741568404286,0.188364331627448,0.206005792315009,2207392.7,1
"min",7.32272630557418e-06,20968.8331585341,6.50670522569255e-05,0.00030518578125,0.607241044286638,0.00100273292325437,1,1.43699483407977,0.929580193898624,1,0.000111317029222846,3020.5499422038,0,0,1172.16853190449,1836,0,3020.54994229159,3057.45259591485,3166.39402362485,2854.52867761105,-0.0110007048280178,0.292305384834989,0,0,-9999,-12.9331560487204,0,0,0,0,0,0,0,-14.8066354671642,0,9.67640062015482,4.00070260197917e-10,0.0172108124183781,0.0205763669140874,0.0210610434976918,0.0212558064579682,0.0200680925801487,98,1
"max",0.10999794612173,217646.993665935,0.00065059156515107,6.45403210514045,0.799969582026824,0.19994328044448,1,1.7541216094121,1.24185008099788,1,0.999997087521479,6332.72987625096,0,0,4970.02651892476,2030,0,6332.73019826754,6664.81888499384,7160.12446960094,9241.39013221134,0.0323051879047609,0.487851456890305,0,0,-9999,-2.83927507875347,0,0,0,0,0,0,0,-6.41936514320267,0,21.6393809337505,6.27469479015248e-05,0.170436064956672,0.250718996888135,0.268397065570159,0.303679422344711,0.391951289244622,2322893,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
