"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.011","0.01","0.001","0.006","0.016","0.028","18,622"
"2","$K$","65,265","62,694","40,554","52,985","74,762","105,519","18,622"
"3","$z$","4.258","3.459","1.078","1.907","6.068","10.611","18,622"
"4","$Pmsy$","0.649","0.649","0.507","0.571","0.724","0.794","18,622"
"5","$sigma$","0.0188","0.0196","0.0091","0.0153","0.0228","0.0252","18,622"
"6","$N_{min}$"," 2,179"," 2,165","   503"," 1,267"," 3,053","  4,003","18,622"
"7","$N_{2019}$"," 4,594"," 4,563"," 3,828"," 4,293"," 4,868","  5,529","18,622"
"8","$N_{2021}$"," 4,703"," 4,657"," 3,832"," 4,348"," 5,014","  5,805","18,622"
"9","$N_{2030}$"," 5,248"," 5,121"," 3,874"," 4,608"," 5,756","  7,374","18,622"
"10","Max depletion","0.033","0.032","0.011","0.022","0.042","0.062","18,622"
"11","Depletion in 2019","0.075","0.073","0.04","0.059","0.089","0.125","18,622"
"12","Depletion in 2021","0.077","0.074","0.041","0.06","0.091","0.132","18,622"
"13","Depletion in 2030","0.087","0.082","0.041","0.064","0.104","0.166","18,622"
"14","$q_{flt1}$","0.551","0.387","0.073","0.216","0.678","2.016","18,622"
"15","$eta_{q_{flt1}}$","-0.007","-0.008","-0.207","-0.075","0.061","0.192","18,622"
"16","$sigma_q$","0","0","0","0","0","0","     1"
"17","$p(q)_{flt1}$","0.576","0.381","0.064","0.206","0.704","2.276",NA
