"","r_max","K","var_N","z","Pmsy","P50","catch_multiplier_1","catch_multiplier_2","catch_multiplier_3","catch_multiplier_4","catch_parameter","sample.N.obs","add_CV","add_VAR_IA","Nmin","YearMin","violate_MVP","N2019","N2021","N2024","N2030","ROI_IA1","q_IA11","q_IA21","ROI_Count1","q_Count1","NLL.IAs","NLL.Count1","NLL.Count2","NLL.Count3","NLL.Count4","NLL.Count5","NLL.Count6","NLL.Count7","NLL.N1","NLL.GR","NLL","Likelihood","Max_Dep","status2019","status2021","status2024","status2030","draw","save"
"mean",0.0144235080922394,61218.8157477333,0.000367617547275706,4.28995433711235,0.650132837401888,0,1,1.600402864617,1.09023775108514,1,0.505091773531027,4753.15440677535,0,0,1786.28152919464,1876.5921,0,4753.15449470273,4919.95877843903,5173.22924452151,5660.38720403185,0.0140757128720873,0.503124661500165,-0.0301216985261705,0,-9999,-6.16612843819617,0,0,0,0,0,0,0,-6.92455496512466,0,13.0906834033208,4.34112962631048e-06,0.0282737776480839,0.0825959116660052,0.085641087274696,0.0903169240085968,0.0994445379234359,25584289.6733036,1
"median",0.0140138909849338,58974.7598867308,0.000369634721047269,3.5116027977545,0.651127665978856,0,1,1.60071440774547,1.09023829389105,1,0.505828673602082,4732.55750463577,0,0,1581.87076020329,1851,0,4732.5575046349,4889.64050558153,5122.72566109759,5567.82347444985,0.0138475412446581,0.493598576058691,-0.0302645460963015,0,-9999,-6.03808418140732,0,0,0,0,0,0,0,-6.64769212153698,0,12.9053269933947,2.48477860941047e-06,0.0261455381976134,0.0802090174658754,0.0828549030787848,0.0870385018933892,0.0946039725750122,25718479,1
"2.5%PI",0.00160801969934255,38996.1373412623,8.07573356010055e-05,1.07702119113288,0.5072951262258,0,1,1.52207626325867,1.0122516427534,1,0.0267090407316573,3968.79558186454,0,0,434.811512829702,1839,0,3968.79557022247,4037.24495112675,4117.82903572405,4187.08835751084,0.00219890561831677,0.335936105571839,-0.079034967025764,0,-9999,-9.01464462087125,0,0,0,0,0,0,0,-8.94537761965461,0,10.8024671167048,7.21549723359772e-08,0.00980995834434874,0.0453002678301496,0.045954349736001,0.0468165949326503,0.0479137842990014,1326867.45,1
"97.5%PI",0.0301088372498634,96233.0230853088,0.000636918518861932,10.4809859294834,0.792257685360965,0,1,1.67856369535198,1.1679335506103,1,0.976365969446487,5661.98374749394,0,0,3835.70709587878,1986,0,5661.98526157361,5975.25029655738,6495.88600848244,7678.57487070811,0.0275612665281534,0.723234799343562,0.0195236775375007,0,-9999,-4.10685284943905,0,0,0,0,0,0,0,-6.41981692895997,0,16.4444496583007,2.03492374869826e-05,0.0575654762670602,0.133136728159857,0.140218647354224,0.152811075853225,0.179993419486438,49922262.6,1
"5%PI",0.00294435463671107,41175.3167786578,9.82487099620861e-05,1.15121288149419,0.514063850974198,0,1,1.53406641164279,1.02461350180886,1,0.0518150833202526,4076.30365228513,0,0,526.610792516627,1839,0,4076.30364486084,4158.99325781253,4260.11754122216,4365.08326556669,0.00371116640048809,0.357664927223821,-0.0711427832293647,0,-9999,-8.33582176489767,0,0,0,0,0,0,0,-8.37087264928716,0,11.1397888429799,1.54901886232004e-07,0.0113841492432701,0.0497186894183427,0.0508150040641108,0.0519598047663643,0.053491146999639,2589530.9,1
"95%PI",0.0273337660043035,88477.4744682276,0.000624327616639366,9.85540270429258,0.785083621414378,0,1,1.66634561480782,1.15597352520121,1,0.951365268055815,5495.75829303591,0,0,3594.0280720252,1974,0,5495.76026934755,5776.97335193681,6246.07903460481,7264.25761149658,0.025162924360925,0.682516303153266,0.0111667350207077,0,-9999,-4.4323586846384,0,0,0,0,0,0,0,-6.42118009431571,0,15.6804739432028,1.45228274003798e-05,0.0523503404757745,0.123514622695327,0.129875848080763,0.140383536228658,0.162739922292164,48591628.1,1
"min",5.51784178242087e-06,29383.4982874835,6.50734969814062e-05,1.00036769132582,0.500035636080429,0,1,1.455915685196,0.941006076036522,1,1.78348273038864e-06,3295.9727777401,0,0,152.408312610333,1837,0,3295.97277627689,3284.75910134576,3214.99633349973,3119.19895726222,-0.00563778328054287,0.237064396472103,-0.124122399796271,0,-9999,-20.4555861037175,0,0,0,0,0,0,0,-16.0236256967607,0,9.42372388169019,7.68537533343004e-13,0.00400357253137824,0.0239966218415728,0.0237820438231877,0.0255082442165894,0.0236087481608313,3252,1
"max",0.0487258874508552,172824.090722611,0.000650600054731332,11.2149461330396,0.799991623894312,0,1,1.77357575284257,1.22672578538509,1,0.999963895883411,6834.1944599757,0,0,4757.37885169414,2030,0,6834.1944918515,7595.38816273093,8241.70866148841,11004.1347986339,0.041505590342277,1.01538828191387,0.0727463555324713,0,-9999,-2.55457567825784,0,0,0,0,0,0,0,-6.41936515257394,0,27.894286993381,8.07846260911513e-05,0.097025308707818,0.210723808282862,0.225205457592535,0.253217536834889,0.325959740391703,51189302,1
"n",20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
