,N_1972,N_1973,N_1974,N_1975,N_1976,N_1977,N_1978,N_1979,N_1980,N_1981,N_1982,N_1983,N_1984,N_1985,N_1986,N_1987,N_1988,N_1989,N_1990,N_1991,N_1992,N_1993,N_1994,N_1995,N_1996,N_1997,N_1998,N_1999,N_2000,N_2001,N_2002,N_2003,N_2004,N_2005,N_2006,N_2007,N_2008,N_2009,N_2010,N_2011,N_2012,N_2013,N_2014,N_2015,N_2016,N_2017,N_2018,N_2019,N_2020,N_2021,N_2022,N_2023,N_2024,N_2025,N_2026,N_2027,N_2028,N_2029,N_2030
mean,2664.513448,2693.809253,2723.671524,2753.403439,2784.411689,2816.285496,2847.870556,2880.583515,2913.049429,2946.178672,2979.589126,3013.989805,3048.942378,3084.021366,3120.896609,3157.510588,3195.371989,3233.165737,3271.935795,3310.968465,3351.605341,3393.081991,3434.439103,3476.57818,3520.612626,3565.066793,3609.677634,3655.601165,3722.070511,3775.849632,3829.91975,3885.58476,3942.211578,3999.05901,4068.47703,4139.729405,4189.171902,4226.283751,4264.769223,4304.915341,4349.514501,4391.133496,4415.546436,4440.157482,4481.620147,4544.001567,4608.378159,4665.384987,4733.305158,4801.726544,4871.79971,4942.06738,5013.682643,5087.042628,5162.152867,5238.696742,5317.255872,5395.94247,5478.408222
median,2635.877812,2665.053053,2698.680617,2729.98384,2763.247449,2793.399354,2828.776839,2862.891994,2897.85598,2928.605838,2964.170841,2999.286355,3037.427879,3073.002208,3109.276025,3150.666693,3190.643063,3226.227152,3266.231906,3307.223344,3349.291874,3390.216237,3432.132871,3474.208928,3518.274224,3562.000928,3605.815181,3649.327465,3713.590173,3768.945093,3822.298351,3879.55353,3933.741252,3986.858209,4056.718124,4128.582504,4180.8028,4219.982026,4257.825488,4294.042123,4338.590147,4381.370707,4405.778222,4427.778092,4463.249266,4521.725921,4580.636879,4631.279953,4691.666217,4748.847721,4809.428824,4860.138074,4923.69085,4988.410371,5048.643415,5111.318781,5168.550419,5224.26008,5290.942477
2.5%PI,1196.030201,1232.912777,1280.613738,1323.608544,1364.098111,1409.723647,1459.976239,1509.245531,1554.616547,1613.46161,1670.106634,1724.126505,1778.297215,1839.557632,1905.769726,1970.458856,2031.489781,2104.803878,2174.721714,2248.79005,2318.812906,2394.5709,2468.358334,2548.606273,2624.182852,2707.790302,2792.609961,2881.921474,2989.946018,3074.001318,3167.268032,3248.074567,3337.89079,3425.940173,3520.991523,3612.537125,3682.915446,3747.042172,3803.266234,3813.21623,3822.496975,3830.779989,3818.244632,3802.777683,3799.157649,3822.626584,3838.034333,3835.862553,3837.895736,3839.519586,3855.465788,3855.534039,3865.32524,3875.492596,3876.962039,3882.489239,3889.918097,3891.566362,3904.159932
97.5%PI,4324.912183,4340.197878,4337.0974,4339.40559,4348.734714,4352.590857,4365.6447,4367.831558,4373.614689,4380.824473,4388.091292,4388.496213,4385.288568,4399.451548,4396.404814,4396.610762,4406.052175,4411.019716,4418.138925,4425.554747,4432.648298,4437.247246,4438.859513,4436.786197,4442.987143,4455.79809,4457.168,4463.026448,4494.855181,4517.126188,4552.322639,4576.901816,4609.24509,4634.473141,4676.845134,4730.620189,4747.361913,4758.986347,4768.39681,4846.416573,4931.884498,5015.163816,5083.101233,5153.238521,5255.833376,5396.251275,5534.839091,5684.098851,5860.711742,6047.596642,6232.391336,6436.320742,6623.404335,6835.958792,7055.832317,7286.730836,7519.383643,7759.750893,8003.930574
5%PI,1357.404772,1399.013017,1441.031343,1490.124271,1535.175311,1579.690323,1626.547854,1675.549046,1728.994858,1779.070807,1833.104712,1892.470967,1946.059406,1998.3483,2061.670662,2120.646713,2186.517026,2252.96769,2315.702513,2389.378909,2462.104725,2532.931117,2606.423651,2680.980208,2763.677801,2838.433628,2917.137951,3009.815913,3100.804641,3180.403594,3260.572327,3342.069806,3427.443565,3510.49332,3598.22086,3688.893194,3756.687286,3815.085047,3874.770262,3882.489677,3899.829733,3909.450997,3904.987246,3898.113654,3903.016873,3921.169647,3940.273046,3949.826485,3968.11316,3978.803413,3993.549229,4009.949149,4017.15531,4028.12303,4034.411058,4043.578705,4049.885807,4061.995385,4068.159462
95%PI,4076.029564,4086.048258,4090.163574,4102.762157,4111.69444,4120.908319,4129.228208,4137.749836,4149.142872,4149.965457,4167.363381,4178.424379,4178.94924,4192.055668,4201.774473,4204.796576,4217.331041,4228.108069,4232.429473,4251.046694,4253.729301,4260.467724,4280.081063,4290.083748,4296.307218,4300.606875,4314.986412,4324.037036,4365.667676,4396.803727,4430.592446,4460.201393,4491.336993,4520.510399,4566.753712,4624.945044,4653.477593,4666.130137,4679.572361,4757.74625,4828.292356,4903.883648,4965.84319,5030.84872,5122.251884,5234.379512,5363.076862,5492.805177,5653.35211,5812.403665,5971.772064,6142.744178,6312.071342,6502.79954,6697.688065,6905.257376,7075.423725,7303.69251,7513.865725
min,540.895592,583.5586598,614.7309112,652.0989176,681.2373955,728.6981452,779.5432653,835.4036443,833.7137737,889.8824401,946.3235655,1001.912134,1058.063251,1092.742511,1123.25563,1197.675431,1223.093349,1314.890802,1383.624442,1467.675533,1568.583999,1669.492622,1764.525099,1917.668779,2051.685144,2106.159835,2178.974568,2329.472947,2391.25092,2546.713228,2591.477003,2742.23369,2772.995074,2810.581659,2853.274331,3094.198807,3243.760933,3318.047297,3401.145645,3376.709713,3438.764219,3417.556671,3323.099687,3317.453903,3288.57712,3175.683692,3166.195193,3219.694396,3230.467462,3192.793029,3124.437703,3119.128035,3054.894005,3002.400629,2998.800522,2989.524342,3066.018574,2978.348549,2974.812998
max,6126.584517,6236.847356,6187.860579,6326.728102,6224.489115,6152.872469,6005.849637,5899.375079,5884.274171,5959.175852,5935.158601,5819.423201,5796.355014,5870.385724,6053.902537,6021.777502,5864.153886,5837.359625,5639.345571,5590.121245,5566.911626,5566.498138,5604.680994,5687.445789,5760.051658,5662.951602,5768.45753,5733.586204,5608.614926,5382.680467,5425.971488,5412.363475,5379.096295,5383.071203,5386.253703,5388.218405,5579.806481,5444.749611,5371.217387,5552.38705,5734.422154,5928.133828,5876.518866,5881.581641,6077.967738,6362.398557,6678.095409,7022.348525,7776.953463,8599.002387,9054.158909,9844.971824,9881.658168,10723.42489,10734.94442,11371.07817,12345.22269,13194.21573,13630.16902
